A,B,C,D,E,F,G,H,X,Y
5,29,479,1918,36,74,1081722,47936,0,5
94,563,967,3866,79,70,2398410,96779,0,94
71,429,490,1960,54,88,1641564,49054,0,71
4,21,674,2696,86,17,2581251,67486,0,4
0,3,249,997,65,73,1950219,24965,0,0
33,197,299,1197,28,9,849927,29928,0,33
39,236,228,913,15,66,461898,22815,0,39
93,557,314,1254,58,69,1768107,31458,0,93
65,387,310,1240,62,72,1879716,31062,0,65
37,222,543,2172,95,85,2861355,54395,0,37
65,393,247,990,98,31,2959593,24798,0,65
2,9,6,25,96,10,2880630,696,0,2
22,134,913,3654,24,49,726747,91324,0,22
1,6,561,2245,84,61,2520483,56184,0,1
15,88,572,2290,96,63,2884689,57296,0,15
7,44,159,638,98,96,2942388,15998,0,7
11,63,908,3630,84,12,2523336,90884,0,11
54,322,558,2232,77,77,2326431,55877,0,54
32,194,863,3450,1,47,39741,86301,0,32
85,508,808,3232,42,16,1285548,80842,0,85
78,469,902,3608,62,50,1883550,90262,0,78
78,467,511,2045,58,25,1763475,51158,0,78
66,395,18,72,12,38,379914,1812,0,66
79,473,393,1570,23,38,713814,39323,0,79
53,317,654,2616,37,71,1126113,65437,0,53
4,25,330,1318,5,57,151371,33005,0,4
74,444,306,1224,55,65,1672395,30655,0,74
51,306,960,3841,19,79,585537,96019,0,51
89,536,406,1622,29,63,896889,40629,0,89
5,30,788,3152,27,57,811671,78827,0,5
49,294,314,1256,54,86,1634958,31454,0,49
76,458,215,858,15,72,473016,21515,0,76
22,131,899,3596,81,85,2436855,89981,0,22
16,95,813,3254,30,63,904989,81330,0,16
25,149,159,637,46,1,1387503,15946,0,25
67,400,897,3589,74,82,2240346,89774,0,67
98,587,971,3884,56,48,1709544,97156,0,98
96,575,21,86,19,50,598950,2119,0,96
23,135,251,1002,51,96,1537188,25151,0,23
33,196,814,3256,72,98,2170194,81472,0,33
37,225,679,2718,84,99,2531397,67984,0,37
31,186,157,629,55,0,1659300,15755,0,31
40,239,613,2452,46,88,1392264,61346,0,40
34,203,969,3874,24,32,730296,96924,0,34
75,453,267,1068,51,0,1552500,26751,0,75
69,417,712,2847,54,2,1640706,71254,0,69
67,402,249,996,96,34,2900202,24996,0,67
59,356,887,3548,55,47,1667841,88755,0,59
28,171,931,3723,56,98,1688694,93156,0,28
55,330,531,2123,71,16,2146548,53171,0,55
49,294,803,3213,26,36,794808,80326,0,49
50,299,979,3916,67,15,2025045,97967,0,50
93,559,809,3234,39,78,1198134,80939,0,93
1,3,146,585,74,20,2220360,14674,0,1
10,57,33,131,92,53,2763159,3392,0,10
16,94,567,2268,98,47,2944941,56798,0,16
90,542,555,2220,62,44,1887132,55562,0,90
7,45,805,3218,30,15,902145,80530,0,7
3,15,601,2402,46,8,1380924,60146,0,3
65,388,501,2003,47,52,1429656,50147,0,65
17,104,681,2725,25,86,755358,68125,0,17
50,302,2,9,74,6,2235018,274,0,50
45,271,345,1382,67,64,2023692,34567,0,45
76,453,62,250,67,55,2032965,6267,0,76
44,262,967,3869,52,10,1573230,96752,0,44
19,113,100,401,16,65,485895,10016,0,19
34,201,837,3349,12,63,370389,83712,0,34
36,215,306,1225,56,42,1690926,30656,0,36
46,277,919,3674,96,43,2893929,91996,0,46
91,545,148,590,55,57,1677471,14855,0,91
10,63,877,3509,20,8,603024,87720,0,10
76,455,936,3744,85,84,2573052,93685,0,76
96,578,979,3915,28,57,868971,97928,0,96
36,217,199,796,47,47,1420941,19947,0,36
72,433,752,3008,14,73,441819,75214,0,72
53,317,176,706,91,27,2745981,17691,0,53
35,211,961,3844,14,79,430737,96114,0,35
53,320,55,218,14,8,435924,5514,0,53
77,462,643,2574,40,46,1223238,64340,0,77
98,585,319,1277,94,28,2849484,31994,0,98
55,332,615,2462,51,8,1546524,61551,0,55
61,363,982,3930,82,71,2478513,98282,0,61
7,42,246,984,48,83,1442349,24648,0,7
26,159,755,3022,3,46,97938,75503,0,26
79,471,216,864,6,92,203976,21606,0,79
15,92,712,2848,98,93,2944779,71298,0,15
15,90,568,2271,93,60,2794680,56893,0,15
81,486,839,3356,97,76,2934528,83997,0,81
18,109,111,446,58,81,1745643,11158,0,18
83,499,495,1981,46,60,1405080,49546,0,83
63,378,457,1828,67,18,2028954,45767,0,63
19,115,16,62,94,23,2825769,1694,0,19
24,142,411,1644,75,83,2257449,41175,0,24
89,533,156,624,39,79,1196937,15639,0,89
34,201,353,1414,21,68,640404,35321,0,34
85,510,953,3814,81,97,2455791,95381,0,85
14,85,691,2763,99,20,2974260,69199,0,14
98,589,652,2610,81,56,2459568,65281,0,98
39,232,663,2653,7,39,221817,66307,0,39
19,113,75,299,15,2,455706,7515,0,19
67,400,652,2609,55,91,1670373,65255,0,67
81,489,193,772,17,10,534330,19317,0,81
4,21,723,2891,19,83,571449,72319,0,4
60,357,145,578,84,83,2538249,14584,0,60
2,10,64,254,34,83,1020849,6434,0,2
73,439,187,748,37,92,1132176,18737,0,73
59,353,119,478,54,75,1637925,11954,0,59
96,579,82,330,23,0,718800,8223,0,96
78,467,425,1700,4,94,143682,42504,0,78
35,212,46,185,85,46,2560638,4685,0,35
20,120,483,1932,62,87,1866261,48362,0,20
55,332,144,577,38,84,1156752,14438,0,55
76,458,550,2199,14,32,442896,55014,0,76
23,139,853,3412,72,96,2167188,85372,0,23
79,474,856,3426,56,63,1703889,85656,0,79
4,24,296,1184,38,97,1141491,29638,0,4
12,69,84,335,96,5,2883615,8496,0,12
27,165,31,124,49,24,1478172,3149,0,27
8,50,423,1693,98,77,2942631,42398,0,8
4,21,82,328,1,54,31362,8201,0,4
16,97,72,290,87,18,2614854,7287,0,16
79,472,959,3836,0,84,23952,95900,0,79
96,579,706,2823,45,16,1378848,70645,0,96
97,585,563,2251,27,24,839172,56327,0,97
22,133,580,2321,18,51,546753,58018,0,22
51,308,706,2822,19,56,585468,70619,0,51
30,179,866,3463,43,72,1299216,86643,0,30
1,3,905,3618,19,69,570507,90519,0,1
45,267,176,706,77,24,2323572,17677,0,45
26,156,69,276,53,88,1598064,6953,0,26
44,262,827,3308,11,18,343254,82711,0,44
56,333,582,2328,12,1,376803,58212,0,56
19,111,602,2407,28,10,845730,60228,0,19
18,109,828,3312,84,85,2525655,82884,0,18
98,589,4,17,38,12,1169436,438,0,98
13,77,488,1950,1,62,34086,48801,0,13
75,448,280,1120,43,48,1312644,28043,0,75
1,9,258,1032,5,77,150531,25805,0,1
87,524,387,1548,42,75,1286325,38742,0,87
27,163,880,3520,79,14,2378142,88079,0,27
47,284,500,1998,37,42,1124226,50037,0,47
40,243,301,1204,69,40,2082120,30169,0,40
77,459,560,2239,81,88,2453364,56081,0,77
68,411,633,2530,8,79,260637,63308,0,68
74,441,817,3270,66,61,2002383,81766,0,74
54,327,937,3748,60,77,1816431,93760,0,54
5,33,744,2978,22,81,661743,74422,0,5
30,179,267,1068,14,23,429069,26714,0,30
43,260,854,3416,85,44,2563032,85485,0,43
69,417,391,1566,19,45,590835,39119,0,69
48,289,693,2772,76,5,2294415,69376,0,48
3,19,751,3005,63,92,1891176,75163,0,3
81,487,912,3648,73,89,2214567,91273,0,81
92,550,839,3355,79,11,2397633,83979,0,92
10,62,859,3434,9,18,273054,85909,0,10
35,212,469,1876,95,22,2860566,46995,0,35
97,582,116,462,67,16,2039148,11667,0,97
54,324,964,3855,91,73,2746419,96491,0,54
16,96,710,2838,71,1,2134803,71071,0,16
99,596,517,2068,55,56,1679868,51755,0,99
96,577,780,3118,56,64,1708992,78056,0,96
34,203,30,120,44,53,1330359,3044,0,34
93,555,665,2662,6,86,208158,66506,0,93
88,531,242,967,71,43,2156529,24271,0,88
48,290,377,1507,75,7,2264421,37775,0,48
65,393,653,2613,6,78,199734,65306,0,65
3,17,465,1858,12,1,360903,46512,0,3
48,289,365,1458,6,10,194430,36506,0,48
25,149,530,2119,85,24,2557572,53085,0,25
77,465,20,79,62,84,1883352,2062,0,77
47,284,675,2700,35,24,1064172,67535,0,47
90,539,729,2916,15,38,477114,72915,0,90
67,401,131,525,71,70,2150310,13171,0,67
12,75,899,3597,66,38,1983714,89966,0,12
29,177,803,3210,84,63,2528889,80384,0,29
35,211,482,1926,13,20,400560,48213,0,35
2,14,521,2085,65,27,1950681,52165,0,2
33,201,801,3204,56,44,1690032,80156,0,33
96,574,7,28,15,69,479007,715,0,96
2,9,298,1192,52,8,1560624,29852,0,2
96,577,532,2126,50,25,1528875,53250,0,96
0,2,242,970,21,17,630051,24221,0,0
51,304,75,298,15,52,465456,7515,0,51
63,381,495,1978,24,51,739053,49524,0,63
61,366,662,2649,48,8,1458324,66248,0,61
36,213,85,341,0,81,11043,8500,0,36
2,15,645,2579,41,67,1230801,64541,0,2
31,189,263,1051,97,82,2919546,26397,0,31
90,540,51,206,5,85,177255,5105,0,90
36,216,473,1892,76,58,2290974,47376,0,36
32,195,842,3369,13,87,399861,84213,0,32
22,130,509,2036,62,93,1866879,50962,0,22
12,74,584,2336,83,90,2493870,58483,0,12
75,451,528,2112,81,51,2452653,52881,0,75
44,261,266,1066,55,19,1663257,26655,0,44
0,1,672,2689,17,30,510090,67217,0,0
66,394,225,901,57,43,1729929,22557,0,66
13,81,500,2001,11,9,333927,50011,0,13
85,509,986,3944,3,64,115692,98603,0,85
18,111,65,260,18,58,545574,6518,0,18
73,435,437,1747,45,24,1371972,43745,0,73
21,123,232,929,13,3,396309,23213,0,21
92,549,88,354,90,61,2727783,8890,0,92
62,375,61,244,30,35,918705,6130,0,62
27,161,972,3890,11,46,338238,97211,0,27
11,69,82,329,48,48,1443444,8248,0,11
4,26,668,2674,72,98,2161494,66872,0,4
80,478,971,3886,83,68,2514204,97183,0,80
98,590,556,2226,80,27,2429481,55680,0,98
46,276,327,1310,3,35,103905,32703,0,46
1,7,188,752,36,87,1080561,18836,0,1
11,65,760,3042,56,73,1683519,76056,0,11
63,381,72,290,59,85,1789155,7259,0,63
89,534,959,3837,92,54,2786862,95992,0,89
15,92,864,3454,20,74,604722,86420,0,15
71,427,240,960,49,39,1491417,24049,0,71
60,362,377,1509,55,87,1668261,37755,0,60
38,226,658,2631,20,34,611502,65820,0,38
65,389,7,26,74,1,2239503,774,0,65
69,417,975,3899,42,35,1280805,97542,0,69
29,177,825,3298,12,19,368757,82512,0,29
79,472,706,2823,75,27,2273781,70675,0,79
26,157,289,1156,89,74,2678022,28989,0,26
99,597,721,2885,53,65,1619895,72153,0,99
90,537,765,3061,68,50,2067150,76568,0,90
67,403,331,1322,3,90,110370,33103,0,67
10,63,862,3446,44,95,1323285,86244,0,10
56,338,527,2108,26,96,797088,52726,0,56
41,249,498,1993,79,61,2382483,49879,0,41
49,296,56,224,50,91,1514973,5650,0,49
27,164,278,1112,74,63,2228289,27874,0,27
12,69,762,3048,16,27,483681,76216,0,12
60,360,723,2891,18,26,558078,72318,0,60
49,292,896,3586,17,65,524895,89617,0,49
7,40,410,1640,70,53,2102259,41070,0,7
65,393,508,2032,90,70,2719710,50890,0,65
65,391,785,3142,58,59,1759677,78558,0,65
52,314,16,65,15,66,465798,1615,0,52
53,316,978,3910,11,62,346086,97811,0,53
32,190,733,2934,67,98,2019894,73367,0,32
61,367,76,303,61,96,1848588,7661,0,61
3,18,705,2821,58,28,1740984,70558,0,3
97,580,48,193,35,90,1079370,4835,0,97
81,483,58,232,8,2,264306,5808,0,81
93,557,64,256,53,11,1617933,6453,0,93
35,208,845,3381,1,65,40695,84501,0,35
75,451,189,755,28,3,862509,18928,0,75
55,330,340,1360,18,47,556641,34018,0,55
48,288,603,2412,68,4,2054412,60368,0,48
48,288,366,1466,10,22,314466,36610,0,48
80,478,874,3496,21,86,654258,87421,0,80
70,421,912,3650,40,78,1221234,91240,0,70
84,502,286,1146,57,33,1735299,28657,0,84
45,270,759,3038,34,92,1033776,75934,0,45
41,246,137,548,12,53,372459,13712,0,41
12,70,114,454,86,4,2583612,11486,0,12
83,500,754,3014,79,98,2395194,75479,0,83
76,459,55,221,60,18,1822854,5560,0,76
41,248,740,2959,39,48,1182444,74039,0,41
32,194,431,1724,40,9,1209627,43140,0,32
99,597,28,111,20,93,629979,2820,0,99
95,572,474,1896,73,58,2218674,47473,0,95
25,153,117,470,24,99,727797,11724,0,25
50,301,219,878,80,13,2415039,21980,0,50
64,382,827,3308,34,49,1039347,82734,0,64
83,499,322,1288,24,5,744915,32224,0,83
22,130,408,1634,82,65,2466795,40882,0,22
21,128,743,2972,78,39,2346417,74378,0,21
19,115,505,2020,61,84,1835952,50561,0,19
41,246,566,2265,11,13,342339,56611,0,41
2,12,390,1558,33,99,990897,39033,0,2
76,456,287,1149,3,67,113001,28703,0,76
0,-3,255,1022,91,6,2730018,25591,0,0
3,16,673,2692,88,42,2641026,67388,0,3
82,489,563,2254,94,95,2844885,56394,0,82
80,480,34,135,23,10,714030,3423,0,80
97,582,742,2968,97,47,2939241,74297,0,97
31,186,901,3604,79,47,2379441,90179,0,31
99,595,473,1892,73,14,2219742,47373,0,99
65,393,499,1994,3,84,109752,49903,0,65
92,551,211,842,66,13,2007639,21166,0,92
56,335,561,2242,22,70,677010,56122,0,56
27,160,85,338,20,83,608349,8520,0,27
77,462,575,2299,39,38,1193214,57539,0,77
4,22,458,1833,43,27,1291281,45843,0,4
21,124,496,1982,1,49,36447,49601,0,21
3,19,610,2442,7,57,211071,61007,0,3
4,22,767,3068,7,57,211371,76707,0,4
79,477,702,2806,64,92,1943976,70264,0,79
58,351,556,2223,61,92,1847676,55661,0,58
52,310,565,2258,56,44,1695732,56556,0,52
50,302,976,3905,45,2,1365006,97645,0,50
48,287,983,3933,76,91,2294673,98376,0,48
82,490,834,3336,81,4,2454612,83481,0,82
76,456,881,3524,41,27,1252881,88141,0,76
65,393,313,1253,30,99,919797,31330,0,65
36,217,213,854,30,78,911034,21330,0,36
4,22,903,3612,97,69,2911407,90397,0,4
90,538,299,1196,46,21,1407063,29946,0,90
81,485,173,693,76,1,2304303,17376,0,81
33,198,403,1611,64,81,1930143,40364,0,33
89,532,755,3019,59,99,1796997,75559,0,89
19,112,623,2494,31,1,935703,62331,0,19
63,378,41,163,79,82,2389146,4179,0,63
34,203,63,253,36,34,1090302,6336,0,34
37,220,45,178,50,1,1511103,4550,0,37
74,444,388,1553,40,47,1222341,38840,0,74
75,449,799,3197,22,14,682542,79922,0,75
68,410,513,2050,23,54,710562,51323,0,68
35,213,287,1146,17,54,520662,28717,0,35
68,410,45,179,52,64,1580592,4552,0,68
79,474,539,2156,70,37,2123811,53970,0,79
65,387,793,3172,21,37,649611,79321,0,65
38,227,138,553,74,8,2231424,13874,0,38
48,289,465,1859,63,16,1904448,46563,0,48
84,506,742,2969,34,12,1045236,74234,0,84
3,15,933,3730,82,57,2461071,93382,0,3
21,129,637,2547,68,90,2046570,63768,0,21
47,282,229,914,14,67,434301,22914,0,47
81,487,113,450,10,57,324471,11310,0,81
99,594,859,3437,85,91,2579973,85985,0,99
63,377,73,290,80,38,2419014,7380,0,63
42,249,520,2079,43,5,1302615,52043,0,42
93,560,27,108,67,39,2038017,2767,0,93
47,281,707,2827,92,28,2774184,70792,0,47
99,593,680,2718,70,11,2129733,68070,0,99
58,349,543,2172,55,70,1667610,54355,0,58
42,250,46,186,1,81,42843,4601,0,42
77,463,673,2691,25,71,773313,67325,0,77
79,474,807,3228,7,76,233928,80707,0,79
24,147,282,1127,55,77,1657431,28255,0,24
9,56,406,1624,47,85,1412955,40647,0,9
79,471,1,4,81,99,2453997,181,0,79
74,447,537,2146,4,93,142479,53704,0,74
57,340,302,1210,94,68,2837304,30294,0,57
87,522,219,876,66,96,2006388,21966,0,87
96,576,955,3822,24,23,748869,95524,0,96
26,158,645,2578,83,4,2497812,64583,0,26
49,296,699,2797,34,15,1034745,69934,0,49
12,71,738,2952,51,93,1533879,73851,0,12
54,325,888,3553,84,47,2536341,88884,0,54
89,531,627,2507,48,0,1466700,62748,0,89
77,465,761,3044,25,21,773163,76125,0,77
2,13,638,2550,55,79,1650837,63855,0,2
64,383,501,2005,55,33,1669299,50155,0,64
23,136,306,1224,95,10,2856930,30695,0,23
0,3,822,3289,17,33,510099,82217,0,0
91,546,156,624,5,24,177372,15605,0,91
74,442,552,2206,87,96,2632488,55287,0,74
97,583,365,1460,84,96,2549388,36584,0,97
44,262,114,458,40,5,1213215,11440,0,44
4,21,238,953,8,15,241245,23808,0,4
75,453,192,768,58,24,1762572,19258,0,75
38,229,319,1278,4,61,131583,31904,0,38
33,200,470,1882,43,20,1299960,47043,0,33
78,469,183,734,33,51,1013553,18333,0,78
54,324,417,1667,6,95,196485,41706,0,54
89,535,412,1649,41,21,1256763,41241,0,89
45,267,146,582,58,3,1753509,14658,0,45
33,197,537,2146,51,40,1540020,53751,0,33
95,568,951,3804,0,19,28557,95100,0,95
79,477,514,2058,88,86,2663958,51488,0,79
99,593,470,1881,23,44,719832,47023,0,99
39,236,323,1294,11,18,341754,32311,0,39
46,277,386,1545,25,69,764007,38625,0,46
41,246,558,2234,17,87,522561,55817,0,41
65,388,42,167,45,79,1369737,4245,0,65
43,256,470,1880,37,17,1122951,47037,0,43
94,566,947,3789,66,53,2008359,94766,0,94
96,574,147,588,13,61,418983,14713,0,96
36,216,586,2342,62,6,1870818,58662,0,36
73,440,897,3587,69,96,2092188,89769,0,73
79,476,557,2228,32,26,983778,55732,0,79
65,389,168,671,34,52,1039656,16834,0,65
68,411,844,3378,94,61,2840583,84494,0,68
54,327,91,366,84,98,2536494,9184,0,54
28,166,511,2045,52,28,1568484,51152,0,28
6,39,353,1413,27,54,811962,35327,0,6
62,375,411,1643,2,81,78843,41102,0,62
45,272,65,262,64,69,1933707,6564,0,45
25,149,721,2885,71,39,2137617,72171,0,25
48,287,25,100,67,37,2024511,2567,0,48
48,285,984,3934,54,39,1634517,98454,0,48
0,-3,48,192,25,96,750288,4825,0,0
77,461,228,914,88,58,2663274,22888,0,77
67,399,390,1560,0,74,20322,39000,0,67
12,69,495,1978,9,68,273804,49509,0,12
64,385,781,3125,0,66,19398,78100,0,64
25,147,271,1086,8,36,247608,27108,0,25
52,310,661,2643,15,65,465795,66115,0,52
9,53,560,2241,84,43,2522829,56084,0,9
35,208,26,102,1,4,40512,2601,0,35
99,591,351,1403,95,87,2879961,35195,0,99
75,451,583,2332,14,31,442593,58314,0,75
47,285,494,1974,79,36,2384208,49479,0,47
95,572,307,1230,92,57,2788671,30792,0,95
46,275,822,3286,75,47,2263941,82275,0,46
4,23,395,1580,89,66,2671398,39589,0,4
33,200,364,1457,1,27,39981,36401,0,33
67,405,490,1960,2,28,80184,49002,0,67
43,260,310,1239,79,8,2382924,31079,0,43
13,75,766,3062,12,51,364053,76612,0,13
42,253,350,1398,36,79,1092837,35036,0,42
19,112,902,3609,33,35,995805,90233,0,19
93,557,847,3387,64,47,1948041,84764,0,93
26,158,392,1567,9,69,278007,39209,0,26
30,179,350,1401,48,44,1449132,35048,0,30
59,354,851,3403,49,29,1487787,85149,0,59
43,260,487,1949,31,86,943158,48731,0,43
79,475,807,3226,69,62,2093886,80769,0,79
20,119,401,1602,44,33,1326099,40144,0,20
94,565,222,890,98,35,2968305,22298,0,94
92,554,793,3171,34,30,1047690,79334,0,92
56,336,425,1698,35,75,1067025,42535,0,56
7,44,856,3423,67,19,2012157,85667,0,7
62,374,335,1340,34,7,1038621,33534,0,62
68,410,753,3012,80,29,2420487,75380,0,68
84,505,622,2487,56,91,1705473,62256,0,84
29,172,658,2634,42,63,1268889,65842,0,29
34,205,659,2634,57,82,1720446,65957,0,34
53,317,535,2142,1,16,45948,53501,0,53
2,15,221,884,40,30,1200690,22140,0,2
79,473,257,1028,6,19,203757,25706,0,79
27,160,642,2570,95,16,2858148,64295,0,27
42,254,969,3876,3,5,102615,96903,0,42
40,238,351,1403,41,51,1242153,35141,0,40
50,302,667,2667,66,19,1995057,66766,0,50
89,537,710,2841,99,25,2996775,71099,0,89
82,491,213,851,86,37,2604711,21386,0,82
77,463,784,3138,14,36,443208,78414,0,77
47,281,84,336,65,80,1964340,8465,0,47
15,92,165,660,43,66,1294698,16543,0,15
76,453,342,1367,15,13,472839,34215,0,76
25,153,493,1971,75,63,2257689,49375,0,25
3,18,514,2056,48,89,1441167,51448,0,3
56,339,577,2309,87,21,2626863,57787,0,56
85,508,262,1047,22,83,685749,26222,0,85
42,253,937,3748,80,5,2412615,93780,0,42
17,103,400,1601,93,33,2795199,40093,0,17
43,261,453,1814,17,56,523068,45317,0,43
95,568,885,3540,65,7,1978521,88565,0,95
99,595,812,3248,11,92,359976,81211,0,99
22,132,247,987,68,25,2046675,24768,0,22
53,316,114,455,29,15,885945,11429,0,53
65,392,993,3972,56,6,1699518,99356,0,65
2,12,765,3061,83,28,2490684,76583,0,2
52,312,881,3522,52,35,1575705,88152,0,52
32,189,778,3114,2,77,69831,77802,0,32
50,298,574,2296,6,74,195222,57406,0,50
86,518,199,797,64,6,1945818,19964,0,86
97,582,167,668,69,7,2099121,16769,0,97
27,165,396,1583,47,93,1418379,39647,0,27
54,325,879,3515,42,18,1276254,87942,0,54
38,228,346,1384,6,98,191694,34606,0,38
20,120,310,1238,88,4,2646012,31088,0,20
61,366,328,1312,39,37,1188411,32839,0,61
79,474,621,2482,6,44,203832,62106,0,79
61,364,234,937,90,62,2718486,23490,0,61
69,411,749,2996,39,62,1190886,74939,0,69
94,563,157,629,63,15,1918245,15763,0,94
89,534,407,1630,82,36,2486808,40782,0,89
68,408,925,3701,86,95,2600685,92586,0,68
67,401,385,1540,59,86,1790358,38559,0,67
75,450,201,802,32,82,982746,20132,0,75
36,216,362,1448,59,87,1781061,36259,0,36
53,319,169,676,43,59,1306077,16943,0,53
76,459,580,2319,13,25,412875,58013,0,76
62,369,481,1923,26,30,798690,48126,0,62
29,175,410,1638,23,29,698787,41023,0,29
95,567,372,1488,6,99,208797,37206,0,95
15,90,482,1926,76,45,2284635,48276,0,15
65,387,17,68,17,48,529644,1717,0,65
16,95,722,2890,42,32,1264896,72242,0,16
46,277,56,223,31,82,944046,5631,0,46
89,536,86,342,49,53,1496859,8649,0,89
20,117,197,790,84,97,2526291,19784,0,20
33,195,719,2876,35,50,1060050,71935,0,33
56,339,173,691,23,74,707022,17323,0,56
85,513,740,2959,2,89,85767,74002,0,85
12,75,641,2564,33,81,993843,64133,0,12
74,444,523,2090,44,4,1342212,52344,0,74
41,245,848,3392,5,18,162354,84805,0,41
77,459,287,1146,98,33,2963199,28798,0,77
50,303,301,1206,44,55,1335165,30144,0,50
23,136,921,3685,55,14,1656942,92155,0,23
46,273,917,3668,63,4,1903812,91763,0,46
50,298,86,346,7,17,225051,8607,0,50
73,437,684,2737,40,74,1222122,68440,0,73
64,386,452,1809,18,73,559419,45218,0,64
45,271,656,2625,65,84,1963752,65665,0,45
83,497,483,1931,78,57,2365071,48378,0,83
97,584,703,2814,78,15,2369145,70378,0,97
30,179,820,3279,8,55,249165,82008,0,30
6,33,410,1641,47,30,1411890,41047,0,6
77,465,284,1137,92,36,2783208,28492,0,77
64,386,957,3830,37,41,1129323,95737,0,64
84,507,714,2858,6,27,205281,71406,0,84
11,67,410,1640,15,40,453420,41015,0,11
50,302,500,1999,6,67,195201,50006,0,50
81,483,910,3640,28,39,864417,91028,0,81
22,135,75,298,97,66,2916798,7597,0,22
40,239,193,773,20,83,612249,19320,0,40
93,557,148,590,31,36,958008,14831,0,93
44,264,855,3420,49,89,1483467,85549,0,44
98,587,964,3854,52,64,1589592,96452,0,98
26,153,2,7,64,7,1927821,264,0,26
2,9,733,2931,97,41,2910723,73397,0,2
60,360,200,800,68,37,2058111,20068,0,60
69,417,245,979,84,38,2540814,24584,0,69
49,291,9,36,74,79,2234937,974,0,49
51,303,17,69,20,31,615393,1720,0,51
6,35,76,306,78,44,2341932,7678,0,6
51,306,456,1824,26,63,795489,45626,0,51
96,573,307,1226,1,66,58998,30701,0,96
82,493,426,1704,90,1,2724603,42690,0,82
3,16,424,1696,55,65,1651095,42455,0,3
32,191,843,3371,8,93,249879,84308,0,32
7,43,277,1108,80,8,2402124,27780,0,7
93,560,555,2222,7,88,238164,55507,0,93
62,372,431,1723,90,52,2718756,43190,0,62
75,450,92,368,11,70,352710,9211,0,75
27,162,889,3556,88,50,2648250,88988,0,27
72,429,61,245,12,27,381681,6112,0,72
95,567,980,3920,92,76,2788728,98092,0,95
37,221,580,2319,83,95,2501385,58083,0,37
11,67,294,1177,35,88,1053564,29435,0,11
65,389,860,3442,37,68,1129704,86037,0,65
10,57,610,2440,17,94,513282,61017,0,10
99,593,766,3062,7,28,239784,76607,0,99
20,117,143,570,54,18,1626054,14354,0,20
1,5,907,3628,71,87,2130561,90771,0,1
85,508,968,3870,26,56,805668,96826,0,85
3,21,682,2728,28,61,841083,68228,0,3
76,455,823,3292,26,81,803043,82326,0,76
60,359,548,2193,35,42,1068126,54835,0,60
78,466,96,384,4,42,143526,9604,0,78
33,197,676,2704,74,47,2230041,67674,0,33
94,562,427,1710,34,46,1048338,42734,0,94
78,469,757,3030,66,9,2003427,75766,0,78
44,261,585,2339,19,53,583359,58519,0,44
87,523,18,74,23,27,716181,1823,0,87
96,577,256,1024,3,1,118803,25603,0,96
59,353,55,222,25,17,767751,5525,0,59
30,179,356,1423,4,6,129018,35604,0,30
1,5,254,1016,27,99,810597,25427,0,1
57,342,694,2776,28,64,857292,69428,0,57
7,41,207,828,4,35,122205,20704,0,7
58,345,852,3407,38,10,1157430,85238,0,58
18,107,543,2172,69,34,2075502,54369,0,18
83,495,700,2799,21,62,655086,70021,0,83
95,569,818,3272,19,59,598677,81819,0,95
45,271,104,416,4,79,133737,10404,0,45
57,340,966,3864,65,46,1967238,96665,0,57
36,215,749,2997,86,58,2590974,74986,0,36
29,174,660,2640,26,90,788970,66026,0,29
26,155,53,212,31,54,937962,5331,0,26
37,225,455,1822,65,7,1961121,45565,0,37
67,402,794,3176,40,71,1220313,79440,0,67
10,62,26,103,38,64,1143192,2638,0,10
44,263,990,3960,46,6,1393218,99046,0,44
77,460,679,2715,25,90,773370,67925,0,77
19,111,610,2439,83,77,2495931,61083,0,19
24,145,417,1666,8,57,247371,41708,0,24
2,13,656,2626,8,88,240864,65608,0,2
77,464,61,246,43,98,1313394,6143,0,77
91,543,616,2464,4,37,147411,61604,0,91
41,246,901,3602,26,43,792429,90126,0,41
72,432,987,3947,91,56,2751768,98791,0,72
27,165,411,1646,42,30,1268190,41142,0,27
73,440,955,3818,3,61,112083,95503,0,73
15,88,405,1621,41,36,1234608,40541,0,15
85,510,555,2218,4,0,145500,55504,0,85
43,259,358,1430,86,64,2593092,35886,0,43
15,93,363,1452,23,55,694665,36323,0,15
86,514,870,3479,1,21,55863,87001,0,86
52,311,103,412,25,22,765666,10325,0,52
78,471,587,2347,20,65,623595,58720,0,78
98,588,906,3626,55,67,1679601,90655,0,98
35,212,239,956,5,82,160746,23905,0,35
46,279,105,420,9,15,283845,10509,0,46
46,276,788,3151,26,97,794091,78826,0,46
19,116,152,609,35,74,1055922,15235,0,19
10,60,741,2962,68,48,2043144,74168,0,10
70,423,431,1723,36,74,1101222,43136,0,70
62,370,755,3021,72,49,2178747,75572,0,62
60,359,363,1450,75,21,2268063,36375,0,60
89,534,136,544,29,88,896964,13629,0,89
71,429,489,1955,27,35,831405,48927,0,71
64,382,318,1271,17,63,529389,31817,0,64
56,339,286,1145,26,74,797022,28626,0,56
32,190,61,245,18,49,549747,6118,0,32
89,537,284,1136,23,20,716760,28423,0,89
63,381,99,394,6,49,199047,9906,0,63
26,154,361,1445,36,42,1087926,36136,0,26
49,291,629,2517,44,72,1334916,62944,0,49
62,370,780,3122,90,8,2718624,78090,0,62
13,81,917,3670,17,53,514059,91717,0,13
55,327,618,2470,61,23,1846569,61861,0,55
